genre,super_genre
Sermon,Novelty/Spoken Word
Lowercase,Ambient & Experimental Electronic
Italo House,House & EDM
Bollywood,Soundtrack/Instrumental
sertanejo universitário,Latin
sertanejo tradicional,Latin
Drill,Hip Hop/Rap
gujarati garba,World/Traditional
brazilian funk,Funk/Disco
Phonk,Hip Hop/Rap
Noisecore,Metal
forró,Latin
Shidaiqu,Pop
karadeniz folk,World/Traditional
Calypso,Reggae/Caribbean
Progressive Breaks,Garage & Breaks
Lento Violento,House & EDM
Hypnagogic pop,Pop
Zarzuela,Classical/Orchestral
Appalachian Music,Folk/Acoustic
Éntekhno,World/Traditional
Laïkó,World/Traditional
alternative pop,Pop
Qawwali,World/Traditional
Goregrind,Metal
Honky Tonk,Country/Americana
brazilian gospel,R&B/Soul
malayalam hip hop,Hip Hop/Rap
malaysian pop,Pop
malay,World/Traditional
norwegian hip hop,Hip Hop/Rap
Ragga,Reggae/Caribbean
Merengue,Latin
Industrial Metal,Metal
vietnamese hip hop,Hip Hop/Rap
v-pop,Pop
vietnam indie,Alternative/Indie
p-pop,Pop
harana,World/Traditional
Space-Age,Ambient & Experimental Electronic
Desert Blues,Blues
Polka,World/Traditional
Plunderphonics,Ambient & Experimental Electronic
duranguense,Latin
Sonero,Latin
Ghetto House,House & EDM
luk thung,World/Traditional
